"","paddy_raster_df","Freq"
"1","101",32425.33
"2","102",205.34
"3","103",272.15
"4","104",45.8
"5","105",265.57
"6","107",5633.79
"7","201",6.07
"8","202",123.9
"9","203",73.33
"10","204",21.85
"11","205",0.51
"12","207",7.45
"13","301",113.25
"14","302",51.04
"15","303",736.5
"16","304",1164.86
"17","305",52.67
"18","307",29.31
"19","401",3.55
"20","402",0.05
"21","403",33
"22","404",905.07
"23","405",373.06
"24","407",183.31
"25","501",383.55
"26","502",0.79
"27","503",39.94
"28","504",120.83
"29","505",318.66
"30","507",214.3
"31","701",10682.88
"32","702",440.32
"33","703",739.56
"34","704",83.89
"35","705",147.02
"36","707",14386.67
