"","paddy_raster_df","Freq"
"1","101",30727.99
"2","102",51.57
"3","103",1158.32
"4","104",31.56
"5","105",138.23
"6","106",0.01
"7","107",399.25
"8","201",53.58
"9","202",306.32
"10","203",2132.58
"11","204",945.33
"12","205",5
"13","207",16.9
"14","301",1424.99
"15","302",328.34
"16","303",15160.3
"17","304",10104.86
"18","305",956.06
"19","306",0.06
"20","307",592.33
"21","401",113.99
"22","402",1.03
"23","403",234.87
"24","404",11581.05
"25","405",15881.56
"26","407",318.6
"27","501",6624.67
"28","502",5.86
"29","503",898.09
"30","504",378.66
"31","505",5943.53
"32","507",439.81
"33","603",0.02
"34","701",1987.78
"35","702",4.76
"36","703",306.91
"37","704",18.64
"38","705",116.82
"39","707",4380.58
