"","paddy_raster_df","Freq"
"1","101",4189.09
"2","102",7.36
"3","103",49.25
"4","104",27.08
"5","105",71.07
"6","107",454.98
"7","201",10.4
"8","202",2.96
"9","203",12.61
"10","204",0.22
"11","205",0.66
"12","207",0.22
"13","301",77.1
"14","302",7.25
"15","303",124.29
"16","304",82.08
"17","305",54.08
"18","307",46.34
"19","401",2.34
"20","402",0.75
"21","403",29.59
"22","404",920.77
"23","405",440.92
"24","407",709.84
"25","501",274.51
"26","502",0.35
"27","503",58.06
"28","504",66.56
"29","505",303.9
"30","507",605.29
"31","701",13042.24
"32","702",42.91
"33","703",190.71
"34","704",229.83
"35","705",211.89
"36","707",16982.98
