"","paddy_raster_df","Freq"
"1","101",10682.78
"2","102",57.17
"3","103",1834.27
"4","104",14.77
"5","105",161.1
"6","107",1020.61
"7","201",67.41
"8","202",238.98
"9","203",1751.68
"10","204",51.03
"11","205",7.91
"12","207",98.15
"13","301",2259.54
"14","302",667.79
"15","303",29459.38
"16","304",4912.29
"17","305",1052.47
"18","307",548.2
"19","401",55.2
"20","402",0.99
"21","403",274.6
"22","404",5365.59
"23","405",6778.71
"24","407",31.36
"25","501",3905.09
"26","502",29.5
"27","503",1883.28
"28","504",196.73
"29","505",1633.35
"30","507",84.77
"31","701",1497.53
"32","702",126.01
"33","703",732.79
"34","704",19.94
"35","705",19.3
"36","707",10454.85
