"","paddy_raster_df","Freq"
"1","101",3628.49
"2","102",62.39
"3","103",212.06
"4","104",10.38
"5","105",51.31
"6","107",1164.59
"7","201",45.56
"8","202",40.33
"9","203",92.62
"10","204",1.07
"11","205",1.32
"12","207",26.2
"13","301",289.23
"14","302",29.37
"15","303",308.23
"16","304",90.29
"17","305",66.31
"18","307",115.46
"19","401",2.98
"20","402",2.33
"21","403",40.77
"22","404",213.31
"23","405",180.5
"24","407",87.61
"25","501",105.54
"26","502",1.57
"27","503",41.64
"28","504",29.63
"29","505",118.38
"30","507",266.27
"31","601",5.32
"32","602",0.02
"33","603",1.65
"34","605",0.15
"35","607",1.36
"36","701",12836.68
"37","702",747.56
"38","703",1072.55
"39","704",143.82
"40","705",157.66
"41","707",16218.84
