"","paddy_raster_df","Freq"
"1","101",24234.05
"2","102",90.97
"3","103",245.26
"4","104",75.88
"5","105",192.15
"6","107",1791.14
"7","201",177.76
"8","202",902.09
"9","203",388.53
"10","204",59.07
"11","205",1.23
"12","207",59.04
"13","301",332.86
"14","302",238.37
"15","303",1869.04
"16","304",1545.59
"17","305",264.72
"18","307",412.11
"19","401",16.69
"20","402",1.84
"21","403",61.62
"22","404",4718.83
"23","405",2389.16
"24","407",1799.17
"25","501",879.77
"26","502",27.68
"27","503",167.99
"28","504",182.81
"29","505",1142.44
"30","507",1320.16
"31","701",18526.29
"32","702",107.62
"33","703",270.01
"34","704",63.54
"35","705",139.27
"36","707",13276.57
