"","paddy_raster_df","Freq"
"1","101",6976.99
"2","102",1710.18
"3","103",3608.68
"4","104",92.41
"5","105",429.24
"6","106",164.68
"7","107",3022.32
"8","201",86.2
"9","202",115.12
"10","203",872.7
"11","204",2.52
"12","205",0.25
"13","206",104.15
"14","207",2.58
"15","301",8960.54
"16","302",8284.58
"17","303",32637.17
"18","304",4957.73
"19","305",1127.53
"20","306",2274.38
"21","307",839.39
"22","401",205.59
"23","402",3.2
"24","403",650.82
"25","404",6995.73
"26","405",3978.96
"27","406",0.03
"28","407",9.19
"29","501",2019.95
"30","502",175.47
"31","503",735.77
"32","504",255.64
"33","505",1262.4
"34","506",4.62
"35","507",37.35
"36","701",253.29
"37","702",131.96
"38","703",476.21
"39","704",16.65
"40","705",12.71
"41","706",17.25
"42","707",6533.22
