"","paddy_raster_df","Freq"
"1","101",2838.72
"2","102",2.76
"3","103",107.29
"4","104",31.69
"5","105",74.96
"6","107",129.98
"7","201",124.18
"8","202",5.88
"9","203",66.16
"10","204",4.42
"11","205",10.46
"12","207",102.71
"13","301",382.85
"14","302",7.58
"15","303",458.21
"16","304",428.06
"17","305",269.02
"18","401",6.36
"19","402",0.21
"20","403",29.16
"21","404",778.15
"22","405",137.39
"23","501",95.71
"24","502",0.07
"25","503",84.74
"26","504",325.66
"27","505",274.95
"28","701",8956.73
"29","702",22.25
"30","703",360.58
"31","704",484.57
"32","705",229.6
"33","707",19405.23
