"","paddy_raster_df","Freq"
"1","101",17403.95
"2","102",136.34
"3","103",3464.07
"4","104",3.53
"5","105",312.75
"6","106",81.91
"7","107",2040.35
"8","201",10.1
"9","202",49.12
"10","203",2288.89
"11","204",99.36
"12","205",63.86
"13","206",1.77
"14","207",14.56
"15","301",1072.41
"16","302",278.27
"17","303",24239.16
"18","304",8191.78
"19","305",6136.51
"20","306",124.43
"21","307",315.72
"22","401",42.75
"23","402",92.85
"24","403",696.2
"25","404",9132.35
"26","405",6201.38
"27","406",1.02
"28","407",20.24
"29","501",3465.34
"30","502",73.39
"31","503",1391.89
"32","504",347.39
"33","505",7167.46
"34","506",12.45
"35","507",115.96
"36","603",4.2
"37","604",21.64
"38","605",0.35
"39","701",652.36
"40","702",35.64
"41","703",145.8
"42","704",1.67
"43","705",10.83
"44","706",1.13
"45","707",3891.49
