"","paddy_raster_df","Freq"
"1","101",20033.4
"2","102",17.72
"3","103",130.32
"4","104",1.71
"5","105",14.53
"6","107",551.7
"7","201",162.62
"8","202",52.25
"9","203",216.38
"10","204",8.18
"11","205",1.13
"12","207",75.76
"13","301",2985.93
"14","302",41.19
"15","303",1121.4
"16","304",553.11
"17","305",275.07
"18","401",6.72
"19","402",0.09
"20","403",10.25
"21","404",1817.19
"22","405",448.11
"23","501",259.56
"24","502",0.26
"25","503",33.48
"26","504",50.13
"27","505",346.24
"28","701",19088.19
"29","702",71.31
"30","703",479.09
"31","704",105.27
"32","705",70.71
"33","707",8124.78
